State;decade;tornado_count;total_deaths;total_injuries;occ_state_tot
30;2010;61;2;10;442
30;2020;13;0;0;442
31;1950;302;28;367;3100
31;1960;295;12;185;3100
31;1970;383;4;210;3100
31;1980;352;7;258;3100
31;1990;639;0;84;3100
31;2000;551;7;138;3100
31;2010;421;2;47;3100
31;2020;157;0;6;3100
32;1960;7;0;1;97
32;1970;11;0;1;97
32;1980;20;0;0;97
32;1990;23;0;0;97
32;2000;16;0;0;97
32;2010;17;0;0;97
32;2020;3;0;0;97
33;1950;9;0;6;102
33;1960;32;0;7;102
33;1970;20;0;12;102
33;1980;10;0;0;102
33;1990;9;0;1;102
33;2000;5;1;4;102
33;2010;12;0;0;102
33;2020;5;0;0;102
34;1950;12;0;11;193
34;1960;11;0;12;193
34;1970;23;0;14;193
34;1980;41;0;14;193
34;1990;39;0;12;193
34;2000;14;1;2;193
34;2010;20;0;0;193
34;2020;33;0;10;193
35;1950;57;0;0;653
35;1960;99;1;57;653
35;1970;78;1;14;653
35;1980;70;0;1;653
35;1990;139;0;38;653
35;2000;80;2;45;653
35;2010;93;0;8;653
35;2020;37;0;0;653
36;1950;12;0;3;501
36;1960;32;0;21;501
36;1970;55;6;54;501
36;1980;67;16;103;501
36;1990;127;3;195;501
36;2000;76;0;43;501
36;2010;91;6;9;501
36;2020;41;0;1;501
37;1950;71;5;139;1498
37;1960;81;3;136;1498
37;1970;182;14;224;1498
37;1980;149;58;1145;1498
37;1990;306;6;455;1498
37;2000;305;15;94;1498
37;2010;298;27;552;1498
37;2020;106;5;41;1498
38;1950;87;25;286;1653
38;1960;144;3;34;1653
38;1970;230;6;73;1653
38;1980;225;0;5;1653
38;1990;271;1;10;1653
38;2000;347;1;32;1653
38;2010;289;2;40;1653
38;2020;60;0;0;1653
39;1950;68;21;479;1316
39;1960;131;100;1561;1316
39;1970;181;49;1642;1316
39;1980;153;66;1152;1316
39;1990;202;6;209;1316
39;2000;158;6;150;1316
39;2010;284;13;273;1316
39;2020;139;0;13;1316
40;1950;546;174;1403;4314
40;1960;578;57;530;4314
40;1970;432;56;1041;4314
40;1980;487;24;625;4314
40;1990;691;57;1117;4314
40;2000;491;38;791;4314
40;2010;850;72;1063;4314
40;2020;239;5;29;4314
41;1950;4;0;0;132
41;1960;13;0;0;132
41;1970;10;6;300;132
41;1980;9;0;0;132
41;1990;36;0;2;132
41;2000;29;0;1;132
41;2010;21;0;2;132
41;2020;10;0;0;132
42;1950;61;1;44;953
42;1960;41;2;132;953
42;1970;117;5;99;953
42;1980;127;65;729;953
42;1990;226;8;213;953
42;2000;107;2;31;953
42;2010;190;0;40;953
42;2020;84;2;31;953
44;1970;1;0;0;21
44;1980;6;0;23;21
44;1990;2;0;0;21
44;2000;3;0;0;21
44;2010;3;0;0;21
44;2020;6;0;1;21
45;1950;38;9;114;1181
45;1960;121;7;118;1181
45;1970;96;17;219;1181
45;1980;94;31;1156;1181
45;1990;240;7;196;1181
45;2000;295;3;174;1181
45;2010;169;4;34;1181
45;2020;128;8;93;1181
46;1950;93;1;20;1934
46;1960;271;6;114;1934
46;1970;275;4;42;1934
46;1980;296;0;17;1934
46;1990;363;7;257;1934
46;2000;326;0;11;1934
46;2010;210;0;25;1934
46;2020;100;1;3;1934
47;1950;91;91;817;1429
47;1960;73;11;155;1429
